size id c0x y c1x y c2x y c3x y center_x y 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6752 14.5512 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.682 14.5462 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6752 14.5512 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.693 14.5628 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6952 14.5771 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5633 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.681 14.5545 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.697 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.686 14.5633 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.701 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6943 14.5771 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.697 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6792 14.56 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.693 14.5628 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6771 14.5457 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6921 14.5628 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6952 14.5771 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.697 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6703 14.5424 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6792 14.56 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6752 14.5512 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.682 14.5545 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6903 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.693 14.5628 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.693 14.5628 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.697 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6952 14.5771 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.7019 14.5804 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.697 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.693 14.5628 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6792 14.56 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6863 14.5594 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.682 14.5545 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6752 14.5512 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6703 14.5424 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6952 14.5771 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6752 14.5512 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6952 14.5771 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.682 14.5545 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.682 14.5545 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6863 14.5594 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.698 14.5716 
1 17 56.1052 32.589 19.6337 32.589 19.6337 -3.71386 56.1052 -3.71386 37.6912 14.5682 
