size id c0x y c1x y c2x y c3x y center_x y 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
1 17 258 346 258 276 328 276 328 346 292.781 310.627 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
1 17 258 346 258 276 328 276 328 346 292.79 310.64 
1 17 258 346 258 276 328 276 328 346 292.781 310.627 
1 17 258 346 258 276 328 276 328 346 292.759 310.661 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.731 310.665 
1 17 258 346 258 276 328 276 328 346 292.758 310.671 
1 17 258 346 258 276 328 276 328 346 292.775 310.638 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.742 310.669 
1 17 258 346 258 276 328 276 328 346 292.758 310.648 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.725 310.677 
1 17 258 346 258 276 328 276 328 346 292.731 310.664 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.742 310.669 
1 17 258 346 258 276 328 276 328 346 292.764 310.635 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.759 310.661 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.792 310.631 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.759 310.66 
1 17 258 346 258 276 328 276 328 346 292.731 310.665 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.742 310.669 
1 17 258 346 258 276 328 276 328 346 292.798 310.618 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.764 310.635 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.781 310.627 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
1 17 258 346 258 276 328 276 328 346 292.775 310.64 
1 17 258 346 258 276 328 276 328 346 292.748 310.656 
1 17 258 346 258 276 328 276 328 346 292.759 310.661 
1 17 258 346 258 276 328 276 328 346 292.759 310.661 
1 17 258 346 258 276 328 276 328 346 292.742 310.669 
1 17 258 346 258 276 328 276 328 346 292.731 310.665 
1 17 258 346 258 276 328 276 328 346 292.725 310.678 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.742 310.669 
1 17 258 346 258 276 328 276 328 346 292.759 310.661 
1 17 258 346 258 276 328 276 328 346 292.764 310.635 
1 17 258 346 258 276 328 276 328 346 292.765 310.648 
1 17 258 346 258 276 328 276 328 346 292.775 310.64 
1 17 258 346 258 276 328 276 328 346 292.781 310.627 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.798 310.618 
1 17 258 346 258 276 328 276 328 346 292.748 310.658 
1 17 258 346 258 276 328 276 328 346 292.742 310.671 
